COMMUTE_TYPE,AFFILIATION_CODE,group,COUNT,PERCENT,COMMUTE_CODE,AFFILIATION
Walk,A,1,28,1.413427562,BIC,Administration
Drive,A,1,949,47.90509844,BIC,Administration
Bike,A,1,35,1.766784452,BIC,Administration
T,A,1,891,44.9772842,BIC,Administration
Carpool,A,1,78,3.937405351,BIC,Administration
Walk,AS,2,165,4.756413952,CARPOOL,Academic Staff
Drive,AS,2,1135,32.71836264,CARPOOL,Academic Staff
Bike,AS,2,237,6.83194004,BIC,Academic Staff
T,AS,2,1838,52.98356875,CARPOOL,Academic Staff
Carpool,AS,2,94,2.709714615,CARPOOL,Academic Staff
Walk,F,3,32,3.62400906,DRV,Faculty
Drive,F,3,594,67.27066818,DRV,Faculty
Bike,F,3,28,3.171007928,CARPOOL,Faculty
T,F,3,204,23.10305776,DRV,Faculty
Carpool,F,3,25,2.831257078,CARPOOL,Faculty
Walk,G,4,781,22.86969253,T,Graduate
Drive,G,4,424,12.41581259,DRV,Graduate
Bike,G,4,626,18.33089312,DRV,Graduate
T,G,4,1560,45.68081991,T,Graduate
Carpool,G,4,24,0.702781845,DRV,Graduate
Walk,SS,5,21,1.090909091,WLK,Support Staff
Drive,SS,5,784,40.72727273,T,Support Staff
Bike,SS,5,42,2.181818182,T,Support Staff
T,SS,5,939,48.77922078,T,Support Staff
Carpool,SS,5,139,7.220779221,T,Support Staff
Walk,U,6,1352,62.82527881,WLK,Undergraduate
Drive,U,6,50,2.323420074,WLK,Undergraduate
Bike,U,6,328,15.24163569,WLK,Undergraduate
T,U,6,412,19.14498141,WLK,Undergraduate
Carpool,U,6,10,0.464684015,WLK,Undergraduate
