COMMUTE_TYPE,AFFILIATION_CODE,group,COUNT,PERCENT,COMMUTE_CODE,AFFILIATION
Walk,A,1,28,1.413427562,BIC,Administration
Drive,A,2,949,47.90509844,BIC,Administration
Bike,A,3,35,1.766784452,BIC,Administration
MBTA,A,4,891,44.9772842,BIC,Administration
Carpool,A,5,78,3.937405351,BIC,Administration
Walk,AS,1,165,4.756413952,CARPOOL,Academic Staff
Drive,AS,2,1135,32.71836264,CARPOOL,Academic Staff
Bike,AS,3,237,6.83194004,BIC,Academic Staff
MBTA,AS,4,1838,52.98356875,CARPOOL,Academic Staff
Carpool,AS,5,94,2.709714615,CARPOOL,Academic Staff
Walk,F,1,32,3.62400906,DRV,Faculty
Drive,F,2,594,67.27066818,DRV,Faculty
Bike,F,3,28,3.171007928,CARPOOL,Faculty
MBTA,F,4,204,23.10305776,DRV,Faculty
Carpool,F,5,25,2.831257078,CARPOOL,Faculty
Walk,G,1,781,22.86969253,T,Graduate
Drive,G,2,424,12.41581259,DRV,Graduate
Bike,G,3,626,18.33089312,DRV,Graduate
MBTA,G,4,1560,45.68081991,T,Graduate
Carpool,G,5,24,0.702781845,DRV,Graduate
Walk,SS,1,21,1.090909091,WLK,Support Staff
Drive,SS,2,784,40.72727273,T,Support Staff
Bike,SS,3,42,2.181818182,T,Support Staff
MBTA,SS,4,939,48.77922078,T,Support Staff
Carpool,SS,5,139,7.220779221,T,Support Staff
Walk,U,1,1352,62.82527881,WLK,Undergraduate
Drive,U,2,50,2.323420074,WLK,Undergraduate
Bike,U,3,328,15.24163569,WLK,Undergraduate
MBTA,U,4,412,19.14498141,WLK,Undergraduate
Carpool,U,5,10,0.464684015,WLK,Undergraduate
