Count,Affiliation,Area,Commute Type,County,Distance,Time
17,A,CRP,DRV,25017,16.0463736004,409.223449155
6,A,CRP,DRV,25021,14.311183318,128.813531215
9,A,CRP,T,25017,15.2891497142,258.02052771
7,A,CRP,T,25017,5.86392184243,76.9687847309
10,A,DF,DRV,25009,31.200873194,468.0599039
35,A,DF,DRV,25017,20.9026072875,1097.49663226
9,A,DF,DRV,25021,24.3457528676,328.700533765
6,A,DF,DRV,25023,42.2943799183,380.687488014
8,A,DF,DRV,25025,9.61543683325,115.396781677
10,A,DF,T,25017,19.7528230607,370.388581674
7,A,DF,T,25017,20.8504138049,273.678786113
6,A,ENG,DRV,25009,24.9269792033,224.365249355
28,A,ENG,DRV,25017,18.8508141862,791.813377157
9,A,ENG,DRV,25021,15.1074006667,203.970306031
9,A,ENG,T,25017,12.1383976906,204.848264045
15,A,ENG,T,25017,8.13036542053,228.680820004
5,A,ENG,T,25025,6.8441066768,64.1675105644
13,A,HAS,DRV,25017,10.2845426466,200.568638473
8,A,HAS,T,25017,10.3951915934,155.937620002
6,A,IST,BIC,25017,6.22129257417,93.3193886125
16,A,IST,DRV,25009,31.0904155681,746.244598095
77,A,IST,DRV,25017,17.1418009534,1980.07601771
17,A,IST,DRV,25021,18.2559616689,465.573579914
7,A,IST,DRV,25023,42.0905996471,441.995495845
13,A,IST,DRV,25025,9.25557318054,180.501727193
12,A,IST,T,25017,12.6207870851,283.985458506
5,A,IST,WLK,25017,0.8888594676,53.3529092197
29,A,IST,T,25017,8.70858758203,473.559047214
7,A,IST,T,25021,18.4841955779,242.620230724
5,A,IST,T,25025,7.0638797176,66.2280116032
8,A,LIB,DRV,25009,40.6713341088,488.104819787
23,A,LIB,DRV,25017,14.3707775449,495.84140944
29,A,LIB,T,25017,10.061134528,547.108384232
57,A,LIB,T,25017,8.5816418513,917.220299126
13,A,LIB,T,25021,15.9519335086,388.852682565
10,A,LIB,T,25025,6.7199679481,126.007274482
11,A,OTH,DRV,25017,15.277473931,252.103530215
5,A,OTH,T,25017,13.7557237584,128.967970733
10,A,SAP,DRV,25017,14.2344973813,213.538814601
14,A,SCI,DRV,25017,19.0390597833,399.860241473
14,A,SLD,BIC,25017,4.36906618514,152.91731648
24,A,SLD,CARPOOL,25017,14.1531188903,723.790439734
48,A,SLD,DRV,25009,33.9487798287,2444.55660333
242,A,SLD,DRV,25017,18.2809350784,6636.64309776
58,A,SLD,DRV,25021,15.269520485,1328.58114031
14,A,SLD,DRV,25023,46.2283823057,970.893117732
54,A,SLD,DRV,25025,7.92256253009,641.791744112
8,A,SLD,DRV,25027,71.9378551875,863.34059631
5,A,SLD,DRV,33011,75.40245828,565.574994599
10,A,SLD,DRV,33015,63.948268869,959.319965032
10,A,SLD,T,25009,32.909123002,617.084624077
72,A,SLD,T,25017,14.6056616043,1971.88755955
24,A,SLD,T,25021,20.3702991686,916.720757634
7,A,SLD,T,25023,45.7641142371,600.691542584
19,A,SLD,T,25025,6.88924505711,245.444695453
6,A,SLD,T,25027,64.681695305,727.714554341
10,A,SLD,WLK,25017,2.6075876186,313.035728523
10,A,SLD,T,25009,34.066064279,638.778628896
140,A,SLD,T,25017,9.42456281289,2474.10236978
43,A,SLD,T,25021,18.0821787802,1457.96678708
10,A,SLD,T,25023,45.860973056,859.946991487
65,A,SLD,T,25025,5.41708016057,660.247910064
5,A,SSM,CARPOOL,25017,9.3409754,99.5203004475
11,A,SSM,DRV,25009,35.6678702391,588.578716817
44,A,SSM,DRV,25017,16.6987857934,1102.23008538
6,A,SSM,DRV,25021,13.4359280965,120.935446413
11,A,SSM,DRV,25025,5.13171617809,84.681785117
15,A,SSM,T,25017,10.1605076377,285.782138693
14,A,SSM,T,25025,6.32574070271,166.061072263
22,A,SSM,T,25017,11.6851248881,482.041529231
6,A,SSM,T,25021,20.0986608817,226.124067673
24,A,SSM,T,25025,5.35829375771,241.13829024
48,AS,ENG,BIC,25017,3.42836511542,411.40381385
11,AS,ENG,BIC,25025,4.73594353218,130.238447135
10,AS,ENG,T,25017,4.2390039106,79.486291217
31,AS,ENG,CARPOOL,25017,9.75917579429,644.650436017
26,AS,ENG,DRV,25009,34.5225638227,1346.51464055
208,AS,ENG,DRV,25017,16.025135631,5000.34235109
31,AS,ENG,DRV,25021,14.0693271121,654.289139626
34,AS,ENG,DRV,25025,7.04989669485,359.580689506
14,AS,ENG,DRV,25027,73.7474037779,1548.85036437
48,AS,ENG,T,25017,12.7037514516,1143.40909372
7,AS,ENG,T,25021,17.3735948083,228.042684527
10,AS,ENG,T,25025,6.592630398,123.619546184
63,AS,ENG,WLK,25017,1.51561446125,1146.26303792
274,AS,ENG,T,25017,5.83043994928,2995.57574743
36,AS,ENG,T,25021,13.35700694,901.654321845
89,AS,ENG,T,25025,4.29438262917,716.669893111
5,AS,ENG,T,25027,70.801771398,663.808094862
7,AS,HAS,BIC,25017,2.50549212757,43.8461122325
49,AS,HAS,DRV,25017,14.7402892094,1083.51960885
15,AS,HAS,DRV,25021,6.99547721053,157.413978635
9,AS,HAS,DRV,25025,7.15752442556,96.6362433693
19,AS,HAS,T,25017,9.38892698132,334.501430049
11,AS,HAS,WLK,25017,1.40488092118,185.518488992
68,AS,HAS,T,25017,4.59017386959,585.283748607
20,AS,HAS,T,25025,4.9468818862,185.519665712
11,AS,LL,BIC,25017,16.246330938,446.774100795
42,AS,LL,DRV,25017,18.9435139134,1193.56073262
197,AS,LL,T,25017,7.04793445952,2603.49350933
11,AS,LL,T,25021,18.1794428427,374.974444534
22,AS,LL,T,25025,3.90476158268,161.081482878
10,AS,OTH,DRV,25017,20.5632751329,308.479974991
15,AS,OTH,T,25017,6.6018688378,185.689166636
6,AS,OTH,T,25021,15.0764229347,169.620359287
15,AS,SAP,BIC,25017,3.76817501193,141.306562947
6,AS,SAP,DRV,25009,33.7816690617,304.065428098
36,AS,SAP,DRV,25017,16.7876350859,906.622956932
7,AS,SAP,DRV,25021,17.7035524639,185.90589146
5,AS,SAP,DRV,25025,5.9141993506,44.3609312226
8,AS,SAP,T,25017,8.7702829135,131.562466357
32,AS,SAP,T,25017,5.30528208887,318.336821384
8,AS,SAP,T,25025,5.22832791925,78.4298206525
60,AS,SCI,BIC,25017,3.26550923617,489.826385425
11,AS,SCI,BIC,25025,4.34698835891,119.54217987
10,AS,SCI,CARPOOL,25017,12.2706506395,261.467092254
13,AS,SCI,DRV,25009,29.8057695131,581.270632568
113,AS,SCI,DRV,25017,15.8073332087,2679.61093997
25,AS,SCI,DRV,25021,15.080775327,565.585633327
17,AS,SCI,DRV,25025,7.01706427394,178.953034289
5,AS,SCI,DRV,25027,72.942149458,547.120833018
33,AS,SCI,T,25017,10.2711969732,635.570035841
5,AS,SCI,T,25021,16.5787422844,155.43542363
37,AS,SCI,WLK,25017,1.70037705886,755.269521945
5,AS,SCI,WLK,25025,1.7458503928,104.792940744
9,AS,SCI,T,25009,31.8711851489,537.859865629
221,AS,SCI,T,25017,6.04984869843,2507.06274584
33,AS,SCI,T,25021,12.9083971236,798.756994333
42,AS,SCI,T,25025,4.72464428745,372.088993199
7,AS,SCI,T,25027,72.4009517,950.32188618
51,AS,SLD,BIC,25017,2.57531204073,328.352285192
7,AS,SLD,BIC,25025,4.40620632014,77.1086106025
23,AS,SLD,CARPOOL,25017,14.3650088068,704.017052114
6,AS,SLD,CARPOOL,25021,7.6858846595,98.264027183
28,AS,SLD,DRV,25009,32.8457794882,1379.66070458
205,AS,SLD,DRV,25017,15.0469386469,4627.39637356
44,AS,SLD,DRV,25021,10.8015482798,712.973483815
9,AS,SLD,DRV,25023,47.1883964044,637.107062166
38,AS,SLD,DRV,25025,7.04734417489,401.738791848
7,AS,SLD,DRV,25027,72.7769226171,764.234110891
5,AS,SLD,DRV,33015,64.187505372,481.454435734
6,AS,SLD,T,25009,31.4452662767,353.781356947
55,AS,SLD,T,25017,17.4953839215,1804.32423717
9,AS,SLD,T,25021,15.9570696881,269.292381761
8,AS,SLD,T,25025,5.749040614,86.2409992725
21,AS,SLD,WLK,25017,1.8177241189,458.249777875
8,AS,SLD,T,25009,32.6590303925,489.916075642
209,AS,SLD,T,25017,6.30337827541,2470.29075485
36,AS,SLD,T,25021,15.2881402649,1032.01396875
76,AS,SLD,T,25025,4.80331836074,684.515648633
34,AS,SSM,DRV,25017,16.2255907312,827.58788608
13,AS,SSM,DRV,25021,9.13662188385,178.181944929
6,AS,SSM,DRV,25025,4.39816450133,39.5874392559
7,AS,SSM,WLK,25017,1.37616732671,115.644313169
19,AS,SSM,T,25017,4.26784610521,152.051520718
5,F,ENG,BIC,25017,1.560859398,19.510742475
5,F,ENG,CARPOOL,25017,10.8482877032,115.579455606
5,F,ENG,DRV,25009,41.08491772,308.16769967
199,F,ENG,DRV,25017,15.2238582672,4544.77617039
30,F,ENG,DRV,25021,12.6369012467,568.717427846
14,F,ENG,DRV,25025,4.19949779743,88.1982735734
25,F,ENG,T,25017,13.3786023396,627.161182241
11,F,ENG,WLK,25017,1.62131002591,214.098562845
25,F,ENG,T,25017,8.12677839972,380.966547896
11,F,HAS,BIC,25017,2.480891124,68.22450591
49,F,HAS,DRV,25017,9.80552751973,720.778350536
9,F,HAS,DRV,25021,5.92958564111,80.0574118962
10,F,HAS,DRV,25025,3.4627410516,51.946310405
12,F,HAS,T,25017,13.1406939255,295.68409358
27,F,HAS,T,25017,5.51434468874,279.181148689
5,F,HAS,T,25025,3.0408785252,28.5100180499
27,F,SAP,DRV,25017,9.74343210489,394.648465095
