COUNT,AFFILIATION,AREA,COMMUTE_TYPE,COUNTY,DIST
17,A,CRP,DRV,25017,16.0463736004118
6,A,CRP,DRV,25021,14.311183318
9,A,CRP,DRV_T,25017,15.2891497142222
7,A,CRP,WLK_T,25017,5.86392184242857
10,A,DF,DRV,25009,31.200873194
35,A,DF,DRV,25017,20.9026072875143
9,A,DF,DRV,25021,24.3457528675556
6,A,DF,DRV,25023,42.2943799183333
8,A,DF,DRV,25025,9.61543683325
10,A,DF,DRV_T,25017,19.7528230607
7,A,DF,WLK_T,25017,20.8504138048571
6,A,ENG,DRV,25009,24.9269792033333
28,A,ENG,DRV,25017,18.8508141861786
9,A,ENG,DRV,25021,15.1074006666667
9,A,ENG,DRV_T,25017,12.1383976905556
15,A,ENG,WLK_T,25017,8.13036542053333
5,A,ENG,WLK_T,25025,6.8441066768
13,A,HAS,DRV,25017,10.2845426466154
8,A,HAS,WLK_T,25017,10.395191593375
6,A,IST,BIC,25017,6.22129257416667
16,A,IST,DRV,25009,31.090415568125
77,A,IST,DRV,25017,17.1418009533507
17,A,IST,DRV,25021,18.2559616688824
7,A,IST,DRV,25023,42.0905996471429
13,A,IST,DRV,25025,9.25557318053846
12,A,IST,DRV_T,25017,12.6207870850833
5,A,IST,UNK,25017,5.6387592572
5,A,IST,WLK,25017,0.8888594676
29,A,IST,WLK_T,25017,8.70858758203448
7,A,IST,WLK_T,25021,18.4841955778571
5,A,IST,WLK_T,25025,7.0638797176
8,A,LIB,DRV,25009,40.67133410875
23,A,LIB,DRV,25017,14.370777544913
29,A,LIB,DRV_T,25017,10.0611345279655
13,A,LIB,UNK,25017,13.4504824960769
5,A,LIB,UNK,25025,3.3961776866
57,A,LIB,WLK_T,25017,8.58164185129825
13,A,LIB,WLK_T,25021,15.9519335086154
10,A,LIB,WLK_T,25025,6.7199679481
11,A,OTH,DRV,25017,15.277473931
5,A,OTH,WLK_T,25017,13.7557237584
10,A,SAP,DRV,25017,14.2344973813
14,A,SCI,DRV,25017,19.0390597832857
14,A,SLD,BIC,25017,4.36906618514286
24,A,SLD,CARPOOL,25017,14.1531188902917
48,A,SLD,DRV,25009,33.94877982875
242,A,SLD,DRV,25017,18.2809350783843
58,A,SLD,DRV,25021,15.2695204850345
14,A,SLD,DRV,25023,46.2283823057143
54,A,SLD,DRV,25025,7.92256253009259
8,A,SLD,DRV,25027,71.9378551875
5,A,SLD,DRV,33011,75.40245828
10,A,SLD,DRV,33015,63.948268869
10,A,SLD,DRV_T,25009,32.909123002
72,A,SLD,DRV_T,25017,14.6056616043056
24,A,SLD,DRV_T,25021,20.3702991685833
7,A,SLD,DRV_T,25023,45.7641142371429
19,A,SLD,DRV_T,25025,6.88924505710526
6,A,SLD,DRV_T,25027,64.681695305
20,A,SLD,UNK,25017,9.89944594515
5,A,SLD,UNK,25021,22.833228424
6,A,SLD,UNK,25025,6.31951079766667
10,A,SLD,WLK,25017,2.6075876186
10,A,SLD,WLK_T,25009,34.066064279
140,A,SLD,WLK_T,25017,9.42456281288572
43,A,SLD,WLK_T,25021,18.0821787802326
10,A,SLD,WLK_T,25023,45.860973056
65,A,SLD,WLK_T,25025,5.41708016056923
5,A,SSM,CARPOOL,25017,9.3409754
11,A,SSM,DRV,25009,35.6678702390909
44,A,SSM,DRV,25017,16.6987857934318
6,A,SSM,DRV,25021,13.4359280965
11,A,SSM,DRV,25025,5.13171617809091
15,A,SSM,DRV_T,25017,10.1605076376667
14,A,SSM,DRV_T,25025,6.32574070271428
5,A,SSM,UNK,25017,5.3560296798
22,A,SSM,WLK_T,25017,11.6851248881364
6,A,SSM,WLK_T,25021,20.0986608816667
24,A,SSM,WLK_T,25025,5.35829375770833
48,AS,ENG,BIC,25017,3.42836511541667
11,AS,ENG,BIC,25025,4.73594353218182
10,AS,ENG,BIC_T,25017,4.2390039106
31,AS,ENG,CARPOOL,25017,9.75917579429032
26,AS,ENG,DRV,25009,34.5225638226923
208,AS,ENG,DRV,25017,16.0251356309519
31,AS,ENG,DRV,25021,14.0693271120968
34,AS,ENG,DRV,25025,7.04989669485294
14,AS,ENG,DRV,25027,73.7474037778571
48,AS,ENG,DRV_T,25017,12.7037514516458
7,AS,ENG,DRV_T,25021,17.3735948082857
10,AS,ENG,DRV_T,25025,6.592630398
5,AS,ENG,OTH,25009,39.32064884
32,AS,ENG,OTH,25017,13.4990897765
10,AS,ENG,UNK,25009,33.791927427
360,AS,ENG,UNK,25017,9.45134358729168
47,AS,ENG,UNK,25021,10.1329827608936
72,AS,ENG,UNK,25025,3.687107151875
63,AS,ENG,WLK,25017,1.51561446125397
274,AS,ENG,WLK_T,25017,5.83043994928102
36,AS,ENG,WLK_T,25021,13.35700694
89,AS,ENG,WLK_T,25025,4.29438262916854
5,AS,ENG,WLK_T,25027,70.801771398
7,AS,HAS,BIC,25017,2.50549212757143
49,AS,HAS,DRV,25017,14.7402892094082
15,AS,HAS,DRV,25021,6.99547721053333
9,AS,HAS,DRV,25025,7.15752442555556
19,AS,HAS,DRV_T,25017,9.38892698131579
6,AS,HAS,OTH,25017,12.6551034683333
61,AS,HAS,UNK,25017,7.55391868585246
10,AS,HAS,UNK,25021,15.7284653887
18,AS,HAS,UNK,25025,4.3493536555
6,AS,HAS,UNK,36061,367.951923316667
11,AS,HAS,WLK,25017,1.40488092118182
68,AS,HAS,WLK_T,25017,4.59017386958824
20,AS,HAS,WLK_T,25025,4.9468818862
11,AS,LL,BIC,25017,16.246330938
42,AS,LL,DRV,25017,18.9435139134048
12,AS,LL,UNK,10890,1915.74859425
24,AS,LL,UNK,25005,50.79588759375
127,AS,LL,UNK,25009,37.1233781857481
1470,AS,LL,UNK,25017,27.1162204302347
112,AS,LL,UNK,25021,23.2548703725982
23,AS,LL,UNK,25023,44.0045976121739
62,AS,LL,UNK,25025,6.33050227016129
115,AS,LL,UNK,25027,69.9902660574783
11,AS,LL,UNK,32003,4915.20806209091
127,AS,LL,UNK,33011,66.2427973725984
49,AS,LL,UNK,33015,66.0599375616326
6,AS,LL,UNK,44007,64.7020025516667
7,AS,LL,UNK,80410,3747.77801485714
197,AS,LL,WLK_T,25017,7.04793445951777
11,AS,LL,WLK_T,25021,18.1794428427273
22,AS,LL,WLK_T,25025,3.90476158268182
10,AS,OTH,DRV,25017,20.5632751329
15,AS,OTH,WLK_T,25017,6.6018688378
6,AS,OTH,WLK_T,25021,15.0764229346667
15,AS,SAP,BIC,25017,3.76817501193333
6,AS,SAP,DRV,25009,33.7816690616667
36,AS,SAP,DRV,25017,16.7876350858611
7,AS,SAP,DRV,25021,17.7035524638571
5,AS,SAP,DRV,25025,5.9141993506
8,AS,SAP,DRV_T,25017,8.7702829135
63,AS,SAP,UNK,25017,7.28293354938095
7,AS,SAP,UNK,25021,5.95464417485714
30,AS,SAP,UNK,25025,4.15162430543333
6,AS,SAP,UNK,36061,368.841423416667
32,AS,SAP,WLK_T,25017,5.305282088875
8,AS,SAP,WLK_T,25025,5.22832791925
60,AS,SCI,BIC,25017,3.26550923616667
11,AS,SCI,BIC,25025,4.34698835890909
10,AS,SCI,CARPOOL,25017,12.2706506395
13,AS,SCI,DRV,25009,29.8057695130769
113,AS,SCI,DRV,25017,15.8073332087168
25,AS,SCI,DRV,25021,15.08077532704
17,AS,SCI,DRV,25025,7.01706427394118
5,AS,SCI,DRV,25027,72.942149458
33,AS,SCI,DRV_T,25017,10.2711969731515
5,AS,SCI,DRV_T,25021,16.5787422844
24,AS,SCI,OTH,25017,13.9071761815417
11,AS,SCI,UNK,25009,38.7820504945455
188,AS,SCI,UNK,25017,7.08786040095213
17,AS,SCI,UNK,25021,5.90260623676471
44,AS,SCI,UNK,25025,4.19056626952273
37,AS,SCI,WLK,25017,1.70037705886487
5,AS,SCI,WLK,25025,1.7458503928
9,AS,SCI,WLK_T,25009,31.8711851488889
221,AS,SCI,WLK_T,25017,6.04984869843439
33,AS,SCI,WLK_T,25021,12.9083971235758
42,AS,SCI,WLK_T,25025,4.72464428745238
7,AS,SCI,WLK_T,25027,72.4009517
51,AS,SLD,BIC,25017,2.57531204072549
7,AS,SLD,BIC,25025,4.40620632014286
23,AS,SLD,CARPOOL,25017,14.3650088068261
6,AS,SLD,CARPOOL,25021,7.6858846595
28,AS,SLD,DRV,25009,32.8457794882143
205,AS,SLD,DRV,25017,15.0469386469171
44,AS,SLD,DRV,25021,10.8015482797955
9,AS,SLD,DRV,25023,47.1883964044444
38,AS,SLD,DRV,25025,7.04734417489474
7,AS,SLD,DRV,25027,72.7769226171429
5,AS,SLD,DRV,33015,64.187505372
6,AS,SLD,DRV_T,25009,31.4452662766667
55,AS,SLD,DRV_T,25017,17.4953839215091
9,AS,SLD,DRV_T,25021,15.9570696881111
8,AS,SLD,DRV_T,25025,5.749040614
11,AS,SLD,UNK,25009,36.4589393
221,AS,SLD,UNK,25017,11.1867780530091
20,AS,SLD,UNK,25021,9.47821664505
47,AS,SLD,UNK,25025,4.27662637255319
6,AS,SLD,UNK,25027,67.0718946916667
